923	author	title	journal	abstract	0	pub_date	volume	issue	pages	0	0
860	"Wing, DR"	Clearing-factor lipase in adipose tissue. Factors influencing the increase in enzyme activity produced on incubation of tissue from starved rats in vitro	Biochem J		1966	Jun	99	3	648-56	4290407	0
861	"Wing, DR"	The effect of cycloheximide on tissue clearing-factor lipase activity	Biochem J		1967	Sep	104	3	45C-46C	6049875	0
862	"Wing, DR and Robinson, DS"	"Clearing-factor lipase in adipose tissue. A possible role of adenosine 3',5'-(cyclic)-monophosphate in the regulation of its activity"	Biochem J		1968	Oct	109	5	841-9	4301448	0
863	"Wing, DR and Robinson, DS"	Clearing-factor lipase in adipose tissue. Studies with puromycin and actinomycin	Biochem J		1968	Feb	106	3	667-76	4295776	0
864	"Wing, DR and Paton, WD"	An effect of cannabis treatment in vivo on noradrenaline-stimulated lipolysis in rat adipocytes	J Pharm Pharmacol		1978	Dec	30	12	802-3	32252	0
865	"Wing, DR and Paton, WD"	"Effects of acute delta1-tetrahydrocannabinol treatment, of hypothermia and of ambient temperature on choline incorporation into mouse brain"	Biochem Pharmacol		1979		28	2	253-60	426841	0
866	"Wing, DR and Paton, WD"	[14C]Serine incorporation into phospholipid in the guinea-pig ileum: effects of halothane [proceedings]	Biochem Soc Trans		1980	Feb	8	1	124-5	6768611	0
867	"Wing, DR"	Effects of chronic ethanol administration on the composition of membrane lipids in the mouse	Biochem Pharmacol	"The relative proportions of the phospholipid fatty acids of erythrocyte membranes in mice were changed by chronic ethanol treatment and were not related to effects of the drug on nutrition, body temperature or experimental stress. Similar changes were observed using two different routes of ethanol administration and they did not reflect the metabolic effects of ethanol seen in the phospholipid fatty acids of whole liver. The observed increased content of saturated fatty acids and decreased content of polyunsaturated acids support the concept of adaptive changes taking place in the membrane during tolerance development to compensate for an increased membrane fluidity caused by ethanol. However, an increased content of the mono-unsaturated acid, octadecenoic (oleic), was found and there was no change in the cholesterol/phospholipid ratio. Other contrasting types of plasma membrane in mice showed different patterns of change in their phospholipid fatty acids during chronic ethanol administration. It is suggested that changes in membrane lipid composition could only partly account for an adaptation to ethanol-induced membrane disordering."	1982	Nov-01	31	21	3431-9	6890815	0
868	"Wing, DR"	Changes in membrane lipid content after chronic ethanol administration with respect to fatty acyl compositions and phospholipid type	Biochem Pharmacol	"Changes in the relative proportions of the phospholipid fatty acids of erythrocyte membranes in mice after chronic ethanol treatment (4.5 g/kg, i.p. twice daily for one week) were shown to vary with the differing control profiles observed. It is suggested that certain changes in membrane lipid composition after ethanol administration may not be interpreted simply in terms of an adaptation to a disordering effect of the drug. The fatty acid changes were, in addition, distributed asymmetrically within the individual phospholipid classes. Depending on the control profile, the effects varied from being mainly in phosphatidylethanolamine (PE; 80%) and phosphatidylserine-inositol (PS + PI; 10%), phospholipids primarily located on the inner half of the membrane bilayer, to being more evenly distributed between PE and phosphatidylcholine (PC) and probably, therefore, between the two halves of the bilayer. Changes in the monounsaturated acid remained primarily with PE, suggesting a specific functional role for this species. The remaining results are discussed in the light of possible effects on cell morphology and their potentially similar consequences of increasing cell volume."	1984	May-15	33	10	1625-32	6732836	0
869	"Wing, DR"	Examination of the esterified fatty acids from mouse erythrocyte and synaptosomal membrane phospholipids and their distribution between the various phospholipid types	J Chromatogr	"Esterified fatty acids from mouse erythrocyte and synaptosomal membranes were characterised by fused-silica capillary gas-liquid chromatography and gas chromatography-mass spectrometry. Structural information was obtained from the mass spectra of a number of derivatives including trimethylsilyl (TMS), methyl and picolinyl esters together with the TMS ethers of glycols derived from the unsaturated acids. In addition to previously characterised acids, small concentrations of several acids previously unreported from these membranes were identified. These included branched chain acids and several unsaturated acids."	1986	Oct-10	368	1	103-11	3782360	0
870	"Wing, DR"	Use of large-scale hydrazinolysis in the preparation of N-linked oligosaccharide libraries: application to brain tissue	Glycoconj J	"In this report, we describe the preparation of a library of N-linked glycans from whole murine brain obtained by the large-scale hydrazinolysis of an acetone powder of the tissue followed by chromatographic procedures. 84% of the characterized oligosaccharides were found to be anionic, the remainder neutral. The anionic species were successively neutralized by neuraminidase (29%), aq. hydrofluoric acid (30%), and methanolysis (26%), indicating that approximately equal portions were sensitive to desialylation, dephosphorylation and desulfation, respectively. The presence of the sulfated fraction was confirmed by direct 35SO4 metabolic labelling. A residual partially characterized fraction was found to be anionic through possession of carboxylic acid groups, unrelated to sialic acid. The purified oligosaccharides, in the absence of their original protein conjugates, were shown to retain those immunological characteristics essential for recognition by a specific monoclonal antibody, LS (412), that is known to recognize a carbohydrate epitope present on a number of neural adhesion molecules and functional in neural cell adhesion. These properties confirm the viability of scaling up the size of the hydrazinolysis procedure and adapting it to whole tissue for the production of glycan libraries and for the probing of structures of interest."	1992	Dec	9	6	293-301	1305421	0
871	"Wing, DR"	Comparative glycosylation in neural adhesion molecules	Biochem Soc Trans		1992	May	20	2	386-90	1397635	0
872	"Wing, DR"	Neural glycoproteins: do they provide specific clues for our understanding of glycan functions?	Glycoconj J		1993	Jun	10	3	190-4; discussion 18	8257846	0
873	"Wing, DR"	Core fucosylation in honeybee venom	Glycobiology		1994	Oct	4	5	548-9	7881168	0
874	"Wing, DR"	High-performance liquid chromatography analysis of ganglioside carbohydrates at the picomole level after ceramide glycanase digestion and fluorescent labeling with 2-aminobenzamide	Anal Biochem	"The functional importance of glycolipids has emphasized the need for more sensitive methods of detection, characterization, and quantification than has often been possible using traditional thin-layer chromatographic techniques. We describe the use of ceramide glycanase and HPLC to identify and quantify gangliosides in which the carbohydrate is in Glcbeta1--> linkage with ceramide. Detection of released carbohydrate was by fluorescent labeling with 2-aminobenzamide at the reducing terminal prior to HPLC analysis. Under the conditions described, ceramide glycanase hydrolyzed all of the common gangliosides studied, offering a broad spectrum of specificity. Release and detection of carbohydrate were linear over a wide range (over two orders of magnitude) of micromolar glycolipid substrate concentrations. Use of an N-linked glycan as an internal standard allowed accurate quantification and a recovery of 93% was achieved. The method additionally maintained the sensitivity (chromatographic peaks containing 1 pmol were readily detected from tissue samples) and comparable resolution to related assays. This was shown by the separation, not only of isomeric carbohydrates from the ""a"" and ""b"" series, but also of ganglioside carbohydrate differing only by the presence of either N-acetyl- or N-glycolylneuraminic acid. Application of the method to neutral glycosphingolipids and to tissue samples, including 10-microl quantities of plasma, is illustrated. Glycan structures were confirmed by exoglycosidase digestion and/or matrix-assisted laser desorption/ionization mass spectrometry."	2001	Nov-15	298	2	207-17	11700975	0
875	"Wittwer, AJ"	Effects of N-glycosylation on in vitro activity of Bowes melanoma and human colon fibroblast derived tissue plasminogen activator	Biochemistry	"Tissue-type plasminogen activator (t-PA), when isolated from human colon fibroblast (hcf) cells, is N-glycosylated differently than when isolated from the Bowes melanoma (m) cell line (Parekh et al., 1988). Both hcf- and m-t-PA can be separated into type I t-PA (with three occupied N-glycosylation sequons, at Asn-117, -184, and -448) and type II t-PA (with two occupied sequons, at Asn-117 and -448). Oligosaccharide analysis of each of these types of t-PA indicates that hcf-t-PA and m-t-PA have no glycoforms in common, despite having the same primary amino acid sequence. We have therefore compared in vitro the enzymatic activities and fibrin binding of type I and type II hcf- and m-t-PA with those of aglycosyl t-PA isolated from tunicamycin-treated cells. Plasminogen activation kinetics were determined by using an indirect amidolytic assay with Glu-plasminogen and a chromogenic plasmin substrate. In the absence of stimulator, there was little difference in activity between type I and type II t-PA, but the activity of aglycosyl t-PA was 2-4-fold higher than that of the corresponding glycosylated t-PA. In the presence of a fibrinogen fragment stimulator, the Kcat value of type II t-PA was approximately 5-fold that of type I t-PA from the same cell line, while the Km values for activation of Glu-plasminogen were similar (0.13-0.18 microM). The stimulated activity of glycosyl t-PA was similar to that of type II t-PA.(ABSTRACT TRUNCATED AT 250 WORDS)"	1989	Sep-19	28	19	7662-9	2514792	0
876	"Wong, SY"	Analysis of carbohydrate-protein interactions with synthetic N-linked neoglycoconjugate probes	Biochem J	"Recently we have describe a simple efficient chemical method of generating an asparagine side-chain linker with beta-stereochemistry at the anomeric position of neutral oligosaccharides. We now report the 1-N-glycyl beta-derivatization of sialylated saccharides. Several neoglycoconjugates formed using these N-linked inter-mediates were investigated for their usefulness in probing carbohydrate-protein interactions. First, biotinyl derivatives of two xylose/fucose class plant-type oligosaccharides purified from horseradish peroxidase were effective in demonstrating the carbohydrate specificity of polyclonal anti-(horseradish peroxidase) antibodies. Secondly, a fluorescein-labelled asialo- and digalactosylated biantennary complex sugar was synthesized and shown to bind to a Ricinus communis agglutinin column. This galactose-specific recognition was abolished by treating this fluorescein-labelled oligosaccharide with jack bean beta-galactosidase. Finally, two 1-N-glycyl beta-saccharide derivatives were modified with thiophosgene to form their corresponding isothiocyanate derivatives. Coupling of these isothiocyanate derivatives of sugars to BSA, amino-derivatized polystyrene plates and glass-fibre discs resulted in multiple sugar presentation. The binding of an anti-N-acetylglucosamine monoclonal antibody to N,N'-diacetylchitobiose residues presented on BSA and solid supports was shown by e.l.i.s.a. Similarly the binding of concanavalin A to asialo-, agalactosylated biantennary complex oligosaccharide residues attached to BSA was demonstrated by a competitive e.l.i.s.a. Our results demonstrate that N-linked neoglycoconjugates could be made readily available and they are valuable tools for the detailed analyses of carbohydrates and carbohydrate-binding proteins."	1993	Dec-15	296 ( Pt 3)		817-25	7506528	0
877	"Wong, SY"	Synthetic glycosylation of peptides using unprotected saccharide beta-glycosylamines	Glycoconj J	"Glycopeptides can be valuable tools in determining the influence of carbohydrate moieties on the intrinsic properties of glycoproteins. However, glycopeptides of sufficient quantity and purity are as yet not readily available from biological sources. The chemical coupling of a beta-glycosylamino group of an unprotected carbohydrate with an activated aspartic acid residue of an unprotected peptide is a simple method for synthesizing asparagine-linked glycopeptides. In this report we demonstrate that the use of this method is not restricted to beta-glycosylamines of simple monosaccharides or short aspartic acid-containing pentapeptides. This is illustrated by the syntheses of several glycopentapeptides containing N,N'-diacetylchitobiose, a glutamine-linked glycopentapeptide containing a biantennary complex oligosaccharide, and glycosylated variants of two analogs of a polypeptide hormone, atriopeptin, containing N,N'-diacetylchitobiose."	1993	Jun	10	3	227-34	8257851	0
878	"Wong, SY"	Synthetic glycosylation of proteins using N-(beta-saccharide) iodoacetamides: applications in site-specific glycosylation and solid-phase enzymic oligosaccharide synthesis	Biochem J	"A simple and efficient synthetic glycosylation method suitable for use in solid-phase enzymic oligosaccharide synthesis and site-specific glycosylation of recombinant proteins to produce defined glycoforms is described. This strategy utilizes N-(beta-saccharide) haloacetamides for attaching oligosaccharides specifically to cysteine residues of proteins in solution to form neoglycoproteins. The alkylation reaction was tested using N-(beta-chitotriose) bromoacetamide and an unprotected synthetic hexapeptide containing a single cysteine residue. The glycosylated product was confirmed by amino acid and hexosamine analyses as well as laser desorption mass spectrometry. Similarly N-(beta-chitotriose) iodoacetamide was covalently linked to non-reduced BSA to produce a defined glycoform of this protein. The specific attachment of chitotriose at the single cysteine residue in non-reduced serum albumin was suggested by Ellman's assay for free thiols. This was verified by amino acid sequencing of tryptic glycopeptide derived from this neoglycoprotein. Multiple sugar attachment was accomplished using fully reduced serum albumin as demonstrated by the formation of two neoglycoproteins using iodoacetamide derivatives of galactose beta 1-3-N-acetylgalactosamine (Gal beta 1-3GalNAc) and the major xylose/fucose-class plant-type oligosaccharide of horseradish peroxidase. These two neoglycoproteins with an average of 18-21 sugar residues attached were assayed positively for binding to peanut agglutinin and a sugar-specific anti-(horseradish peroxidase) monoclonal antibody YZ1/2.23 respectively. Sialylation of the neoglycoprotein containing Gal beta 1-3GalNAc was accomplished using alpha-2,3-sialyltransferase and radiolabelled CMP-N-acetylneuraminic acid. Significantly, glycan attachment using this conjugation method is reversible as demonstrated by the release of oligosaccharides from these two neoglycoproteins using hydrazinolysis. Therefore this method could provide invaluable reagents for many glycobiological studies."	1994	Jun-15	300 ( Pt 3)		843-50	8010968	0
879	"Woods, RJ"	Protein surface oligosaccharides and protein function	Nat Struct Biol		1994	Aug	1	8	499-501	7664073	0
880	"Woods, RJ"	The high degree of internal flexibility observed for an oligomannose oligosaccharide does not alter the overall topology of the molecule	Eur J Biochem	"The conformational properties of oligosaccharides are important in determining their biological properties, such as recognition by proteins. The structural and dynamic properties of many oligosaccharides are poorly understood both because of a lack of experimental data (usually obtained from solution NMR parameters) and because of gross approximations frequently invoked in theoretical models. To characterise the oligomannose oligosaccharide Man,GlcNAc2 we have acquired a more extensive NMR data set and performed the first unrestrained molecular dynamics (MD) simulation in water of this large oligosaccharide (employing the GLYCAM_93 parameter set with the AMBER force field). Good agreement is seen between the computed dynamics data and the results of both an isolated spin pair (ISPA) analysis of short mixing time NOE data and NOE build-up curves for mixing times from 100 to 2000 ms. The number of experimental conformational constraints obtained in this study are in principle sufficient to fully define a rigid structure. The fact that this could not be done indicates a high degree of internal flexibility and/or the presence of multiple conformations about the glycosidic linkages. Independently, the same conclusions are reached from an analysis of the MD results. In addition, the theoretical results allow the overall topology of the molecule and its intra-molecular and solvent-mediated hydrogen bonding pattern to be defined. Extensive re-organisation of solvent and inter-residue hydrogen bonds is shown to be required for significant conformational changes to occur, resulting in relatively long life-times for distinct glycosidic linkage conformations, despite the high local flexibility of the glycosidic linkages. This factor is also seen in the overall topology of the molecule, where the considerable internal flexibility is not translated into gross changes in structure. The control exerted by the solvent over both the flexibility and overall topology of an oligosaccharide has important implications for recognition processes and for the conformational properties of glycans attached to glycoproteins."	1998	Dec-01	258	2	372-86	9874202	0
881	"Wooten, EW"	"Uncertainties in structural determinations of oligosaccharide conformation, using measurements of nuclear Overhauser effects"	Carbohydr Res	"A fundamental problem in the determination of molecular structure by n.m.r. spectroscopy is insufficient experimental constraints. This problem is particularly marked for oligosaccharides, where few constraints are available across glycosidic linkages. By calculating distances as a function of dihedral angle, it is shown that, in general, two n.O.e. constraints result in two possible conformations for each glycosidic linkage, one of which can usually be discarded on the basis of model building or energy calculations. Using these calculations, an estimate of the uncertainty in the structure can be obtained."	1990	Aug-01	203	1	13-Jul	2224900	0
882	"Wooten, EW"	Primary sequence dependence of conformation in oligomannose oligosaccharides	Eur Biophys J	"The oligomannose series of oligosaccharides from bovine thyroglobulin (BTG) and the variant surface glycoprotein (VSG) of Trypanosoma brucei have been isolated and sequenced by 1H NMR. The structure of Man9GlcNAc2, the parent molecule of the series, is shown below. Structural isomerism occurs within this series through the removal of residues D1, D2, D3, and C. Using spin-spin coupling and chemical shift data the rotamer distributions about the dihedral angle omega for the Man alpha 1-6Man beta and Man alpha 1-6Man alpha linkages were determined for each member of the series. It is shown that the dihedral angle omega of the Man alpha 1-6Man beta linkage exhibits low flexibility with a preference for the omega = 180 degrees conformation when residue D2 is present and high flexibility when this residue is absent. Flexibility of omega for the Man alpha 1-6Man alpha is largely independent of primary sequence and is intermediate between the two Man alpha 1-6Man beta extremes, again with a preference for the omega = 180 degrees conformation. [see text] There are, however, data which indicate that removal of residue D3 may confer additional flexibility upon the dihedral angle omega of the Man alpha 1-6Man alpha linkage. Molecular graphics modelling, together with chemical and enzymatic modification studies, suggest that the origin of the observed primary sequence dependence of the Man alpha 1-6Man beta linkage arises from steric factors. On the basis of these observations taken together with previous work, it is postulated that recognition of individual oligomannose conformations may play a role in the control of N-linked oligosaccharide biosynthesis."	1990		18	3	139-48	2357942	0
883	"Wormald, MR"	Solution NMR studies of colicin E1 C-terminal thermolytic peptide. Structural comparison with colicin A and the effects of pH changes	Eur J Biochem	"The aqueous solution structure of the C-terminal thermolytic peptide of colicin E1 has been investigated using both one- and two-dimensional NMR techniques. The NMR data are consistent with a fold for the peptide very similar to that reported for the colicin A C-terminal peptide in the crystalline state, although some differences have been noted. The one-dimensional NMR spectrum of the peptide has been used to follow changes in both the structure and dynamics of the peptide on changing pH. The in vitro functionally competent form of the peptide (present in solution only below pH 6) does not differ in structure significantly from the higher pH form. However, small local conformational changes are observed together with an increase in mobility in some of the more hydrophilic regions. This suggests that the effect of lower pH is to change the ease with which the major conformational changes during insertion into a membrane can occur."	1990	Jul-20	191	1	155-61	2199197	0
884	"Wormald, MR"	The solution conformation of the Le chi group	Biochem Biophys Res Commun	The solution conformation of the non-reducing terminal Gal beta 1----4 (Fuc alpha 1----3)GlcNAc (Lewis X or Le chi) group in the oligosaccharide Lacto-N-fucopentaose (LNFP) III has been determined by high resolution 1H NMR spectroscopy and semi-empirical quantum mechanical calculations. The two methods give the same single conformer for the Le chi group showing close packing of the Gal and Fuc rings. The metal binding properties and homotypic oligomer formation of LNFP III have also been investigated by NMR spectroscopy. No evidence for metal binding or high-affinity homotypic oligomer formation has been found.	1991	Nov-14	180	3	1214-21	1953773	0
885	"Wormald, MR"	The conformational effects of N-glycosylation on the tailpiece from serum IgM	Eur J Biochem	"1H-NMR spectroscopy has been used to study the conformation and dynamics of the isolated tailpiece from human serum immunoglobulin M, a 22-residue peptide containing a single asparagine glycosylation site. The peptide is isolated as a set of glycoforms, varying only in the sequence of the oligosaccharide attached at the glycosylation site. The oligosaccharides present have the general formula (Man)n(GlcNAc)2, with 45% having n = 6, 45% having n = 8 and 10% having n = 7 and/or 9. They have been identified and their NMR parameters compared to those found for the isolated oligosaccharides in free solution. The conformation and dynamics of the peptide component have also been studied, using NOE data and hydrogen-exchange experiments, and the results compared to those obtained from the aglycosyl peptide of the same sequence. The presence of the peptide is found to have no measurable effect on the conformation of the oligosaccharides. However, the presence of oligosaccharide causes a decrease in the conformational mobility of the backbone and sidechains of the peptide in the region of the glycosylation site. This is proposed to result from interactions between the oligosaccharide core and the amino acid side chains. Further, the conformation of the N-glycosidic linkage has been shown to be both rigid and planar. Thus, the conformational space available to an N-linked oligosaccharide in a glycoprotein relative to the protein may depend to a large extent upon the flexibility of the asparagine side chain. Various roles for the different glycoforms of the tail peptide are discussed."	1991	May-23	198	1	131-9	2040275	0
886	"Wormald, MR and Edge, CJ"	The systematic use of negative nuclear Overhauser constraints in the determination of oligosaccharide conformations: application to sialyl-Lewis X	Carbohydr Res		1993	Aug-17	246		337-44	8103705	0
887	"Wormald, MR"	Variations in oligosaccharide-protein interactions in immunoglobulin G determine the site-specific glycosylation profiles and modulate the dynamic motion of the Fc oligosaccharides	Biochemistry	"Glycoproteins, such as immunoglobulin G (IgG), consist of an ensemble of glycosylated variants, or glycoforms, which have different oligosaccharides attached to a common peptide. Alterations in the normal glycoform populations of IgG are associated with certain disease states, notably rheumatoid arthritis and its remission during pregnancy. In this paper, we show that two sets of IgG Fc glycoforms have quite different physical properties. The first set has 1,6 arm terminal galactose residues which interact with the protein, resulting in glycan binding to the protein surface, in agreement with the crystal structure. In contrast, the second set of glycoforms which lack galactose does not bind to the protein surface. Recently developed HPLC techniques combined with enzymatic digestion and mass spectrometry have been used to assign the glycan structures on IgG, Fab, and Fc. Comparison of Fab with Fc shows that glycosylation is site-specific. Two major glycan structures are present on Fab (fucosylated digalacto-bianntenary with and without bisect) and three on Fc (fucosylated agalacto-, 1,6 arm monogalacto-, and digalacto-bianntenary). In comparison to Fab, Fc glycans contain (i) lower levels of bisecting GlcNAc, (ii) lower levels of galactose, (iii) higher than expected levels of 1,6 arm galactose relative to 1,3 arm, and (iv) no 1,6 arm sialylation. We interpret these differences to indicate a role for both the protein quaternary structure and specific protein-glycan interactions in determining the glycoform populations. NMR relaxation measurements have been used to probe the mobility of the glycans in the Fc. By comparing two samples with different glycoform populations, we conclude that this mobility is dependent on the primary sequence of the glycan. Glycans carrying a galactose residue on the 1,6 arm have relaxation properties very similar to those of the peptide backbone and thus do not have independent motion. Glycans lacking galactose have relaxation rates 30 times slower than that of the peptide and thus a higher degree of mobility. These agalactosyl glycans do not interact with the protein, resulting in exposure of previously covered regions of the peptide surface and making the glycan more accessible. This implies that at the early stages of glycan processing the Fc glycans are mobile and only partially protected by the protein quaternary structure. Immobilization of the glycans occurs as a consequence of addition of galactose to the 1,6 arm and results in increased protection."	1997	Feb-11	36	6	1370-80	9063885	0
888	"Wormald, MR and Dwek, RA"	Glycoproteins: glycan presentation and protein-fold stability	Structure	"Glycosylation of proteins has been shown to play a role in a variety of cellular events. Thanks to recent advances in obtaining conformational constraints across glycosidic linkages, structural characterisation of glycoproteins has improved considerably. It is now becoming apparent that N-glycosylation of a folded protein can have a significant stabilising effect on large regions of the backbone structure."	1999	Jul-15	7	7	R155-60	10425673	0
889	"Wormald, MR"	"Conformational studies of oligosaccharides and glycopeptides: complementarity of NMR, X-ray crystallography, and molecular modelling"	Chem Rev		2002	Feb	102	2	371-86	11841247	0
890	"Wormald, MR and Sharon, N"	"Carbohydrates and glycoconjugates: progress in non-mammalian glycosylation, glycosyltransferases, invertebrate lectins and carbohydrate-carbohydrate interactions"	Curr Opin Struct Biol		2004	Oct	14	5	591-2	15465320	0
891	"Wragg, S and Drickamer, K"	Identification of amino acid residues that determine pH dependence of ligand binding to the asialoglycoprotein receptor during endocytosis	J Biol Chem	"The rat hepatic asialoglycoprotein receptor mediates clearance of galactose- and N-acetylgalactosamine-terminated glycoproteins by endocytosis, binding ligands through a C-type, Ca(2+)-dependent carbohydrate-recognition domain (CRD) at extracellular pH and releasing them at lower pH in endosomes. At physiological Ca(2+) concentrations, the midpoint for ligand release from the CRD of the major subunit of the receptor is pH 7.1. In contrast, the midpoint is pH 5.0 for a galactose-binding derivative of the homologous C-type CRD of serum mannose-binding protein, which would thus not efficiently release ligand at an endosomal pH of 5.4. Site-directed mutagenesis of the CRD from the major subunit of the asialoglycoprotein receptor has been used to identify residues that are essential for efficient release of ligand at endosomal pH. The effects of changes to residues His(256), Asp(266), and Arg(270) singly and in combination indicate that these residues reduce the affinity of the CRD for Ca(2+), so that ligands are released at physiological Ca(2+) concentrations. The proximity of these three residues to the ligand-binding site at Ca(2+) site 2 of the domain suggests that they form a pH-sensitive switch for Ca(2+) and ligand binding. Introduction of histidine and aspartic acid residues into the mannose-binding protein CRD at positions equivalent to His(256) and Asp(266) raises the pH for half-maximal binding of ligand to 6.1. The results, as well as sequence comparisons with other C-type CRDs, confirm the importance of these residues in conferring appropriate pH dependence in this family of domains."	1999	Dec-10	274	50	35400-6	10585409	0
892	"Wright, C"	The interaction of protein A and Fc fragment of rabbit immunoglobulin G as probed by complement-fixation and nuclear-magnetic-resonance studies	Biochem J	"Protein-A-Fc-fragment complexes were observed in sedimentation-velocity experiments by ultracentrifugation. The interaction was studied by protein-fluorescence-quenching titrations of the Fc fragment with protein A, allowing the dissociation constant to be determined under a variety of conditions. The first component of the complement pathway, C1, is activated by complexes of protein A with rabbit IgG (immunoglobulin G), and the structural basis for this interaction was studied by using n.m.r. (nuclear magnetic resonance). The four Fc-fragment binding sites on protein A were shown to contain aromatic amino acids, and to be connected by mobile hydrophilic regions. Neither n.m.r. nor proton-relaxation-enhancement studies show evidence of a large conformational change of the Fc fragment on binding protein A, and this suggests that the cross-linking of the Fc fragments may be primarily responsible for the activation of component C1. This is supported by the inability of a univalent tryptic fragment of protein A to activate complement fixation by rabbit IgG."	1977	Dec-01	167	3	661-8	603628	0
893	"Wu, TT"	Evidence that two latency-associated transcripts of herpes simplex virus type 1 are nonlinear	J Virol	"The latency-associated transcripts (LATs) of herpes simplex virus type 1 (HSV-1) are the only viral gene products that accumulate to abundant levels in latently infected cells. Others have reported species of 2.0, 1.50, and 1.45 kb; only the 2.0-kb species is seen in productively infected cells, and there is evidence that it behaves as an intron. We examined the LATs both in trigeminal ganglia of latently infected mice and in productively infected cultures of monkey CV-1 cells. After glyoxalation, RNA was subjected to high-resolution agarose gel electrophoresis and Northern (RNA) analysis, a procedure capable of resolving linear and nonlinear RNA species. Under these conditions, we resolved the 2.0-kb LAT into two species; the slower species was much more abundant and had a mobility significantly slower than expected for a linear RNA. To test the hypothesis that this RNA was in fact nonlinear, we used partial hydrolysis by sodium carbonate and oligonucleotide-directed RNase H digestion. These procedures changed the mobility of the slower species into that of the faster species. Similarly, the mobility of the 1.50-kb LAT, which was much more abundant than the 1.45-kb LAT, was changed by these procedures to that of the 1.45-kb LAT. Our data show that the two major LAT species are nonlinear, and they support an interpretation of stable lariat structures."	1996	Sep	70	9	5962-7	8709218	0
894	"Wu, TT"	Atypical splicing of the latency-associated transcripts of herpes simplex type 1	Virology	"We previously have shown that two latency-associated transcripts (LATs) of herpes simplex type 1 (HSV-1) are probably lariats, produced during splicing. By RNaseH digestion analysis, we now show that the major branchpoint of the 2.0-kb LAT was within 46 nt 5' of the splice acceptor site. A more detailed mapping by primer extension revealed the branchpoint as an adenosine 29 nt 5' of the splice acceptor site. Introduction of two branchpoint sequences with good matches to the consensus at position -25 had no effect on the splicing efficiency but reduced the accumulation of the 2.0-kb LATs at least 90-fold. The second focus of our studies was the 1.5-kb LAT. It was not detected by Northern analyses in either productively infected or transfected cultured cells or even in cells of neuronal origin. However, it was detected in the trigeminal ganglia of mice experimentally infected with HSV-1 after 10 days. Moreover, its abundance relative to that of the 2.0-kb species increased 4-fold from 10 to 30 days after infection, consistent with an interpretation that the 1.5-kb species, once formed, was more stable than the 2.0-kb species."	1998	Mar-30	243	1	140-9	9527923	0
895	"Wu, SF"	Antiviral effects of an iminosugar derivative on flavivirus infections	J Virol	"Endoplasmic reticulum (ER) alpha-glucosidase inhibitors, which block the trimming step of N-linked glycosylation, have been shown to eliminate the production of several ER-budding viruses. Here we investigated the effects of one such inhibitor, N-nonyl-deoxynojirimycin (NN-DNJ), a 9-carbon alkyl iminosugar derivative, on infection by Japanese encephalitis virus (JEV) and dengue virus serotype 2 (DEN-2). In the presence of NN-DNJ, JEV and DEN-2 infections were suppressed in a dose-dependent manner. This inhibitory effect appeared to influence DEN-2 infection more than JEV infection, since lower concentrations of NN-DNJ substantially blocked DEN-2 replication. Secretion of the flaviviral glycoproteins E and NS1 was greatly reduced, and levels of DEN-2 viral RNA replication measured by fluorogenic reverse transcription-PCR were also decreased, by NN-DNJ. Notably, the viral glycoproteins, prM, E, and NS1 were found to associate transiently with the ER chaperone calnexin, and this interaction was affected by NN-DNJ, suggesting a potential role of calnexin in the folding of flaviviral glycoproteins. Additionally, in a mouse model of lethal challenge by JEV infection, oral delivery of NN-DNJ reduced the mortality rate. These findings show that NN-DNJ has an antiviral effect on flavivirus infection, likely through interference with virus replication at the posttranslational modification level, occurring mainly in the ER."	2002	Apr	76	8	3596-604	11907199	0
896	"Wyner, LM"	Decreased HLA matching does not preclude successful renal transplantation in African Americans	Transplant Proc		1993	Aug	25	4	2452-3	8356629	0
